time,BF_object_A,lat_A,long_A,BF_object_B,lat_B,long_B,BF_object_C,lat_C,long_C,A-B,B-A,B-C,C-B,A-C,C-A
+2026-02-05T22:36:32Z,T-62,35.1,129.0300878,T-72,35.1000541,129.03010097,BTR-80,35.1001082,129.04756,side by side,side by side,in back of,in front of,in back of,in front of
+2026-02-05T22:36:33Z,T-62,35.1,129.0301756,T-72,35.1000541,129.03020194,BTR-80,35.1001082,129.04756,side by side,side by side,in back of,in front of,in back of,in front of
+2026-02-05T22:36:34Z,T-62,35.1,129.0302634,T-72,35.1000541,129.03030291,BTR-80,35.1001082,129.04756,side by side,side by side,in back of,in front of,in back of,in front of
+2026-02-05T22:36:35Z,T-62,35.1,129.0303512,T-72,35.1000541,129.03040388,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:36Z,T-62,35.1,129.030439,T-72,35.1000541,129.03050485,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:37Z,T-62,35.1,129.0305268,T-72,35.1000541,129.03060582,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:38Z,T-62,35.1,129.0306146,T-72,35.1000541,129.03070679,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:39Z,T-62,35.1,129.0307024,T-72,35.1000541,129.03080776,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:40Z,T-62,35.1,129.0307902,T-72,35.1000541,129.03090873,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:41Z,T-62,35.1,129.030878,T-72,35.1000541,129.0310097,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:42Z,T-62,35.1,129.0309658,T-72,35.1000541,129.03111067,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:43Z,T-62,35.1,129.0310536,T-72,35.1000541,129.03121164,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:44Z,T-62,35.1,129.0311414,T-72,35.1000541,129.03131261000001,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:45Z,T-62,35.1,129.0312292,T-72,35.1000541,129.03141358,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
