time,BF_object_C,lat_C,long_C,BF_object_D,lat_D,long_D,BF_object_E,lat_E,long_E,C-D,D-C,D-E,E-D,E-C,C-E
+2026-02-05T22:36:32Z,Platform_A,35.00004286765309,130.0175634406475,K2BlackPanther,35.000016269828876,130.027212140499,T90,35.000155872269744,130.03687121076985,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:33Z,Platform_A,35.0000673680417,130.0175629470945,K2BlackPanther,35.00003146771364,130.0272303832225,T90,35.00017669691418,130.03681514533798,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:34Z,Platform_A,35.00004509599583,130.0175786251334,K2BlackPanther,35.000043493574694,130.027213420352,T90,35.00017726682276,130.0367102858116,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:35Z,Platform_A,35.00005872760619,130.01754707976554,K2BlackPanther,35.0000291505345,130.0272223904596,T90,35.00014629990891,130.03665727725377,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:36Z,Platform_A,35.00006420559893,130.0175615107952,K2BlackPanther,35.0000467771678,130.02722415100607,T90,35.000164976710536,130.0365723930408,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:37Z,Platform_A,35.000047292948416,130.01755899856227,K2BlackPanther,35.00004913591138,130.0272377481969,T90,35.00017917307474,130.0365086112812,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:38Z,Platform_A,35.00006377019142,130.01757021678603,K2BlackPanther,35.00003022157356,130.02721452893175,T90,35.00015705090889,130.036413941873,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:39Z,Platform_A,35.00006868242751,130.01754011185957,K2BlackPanther,35.00004123429228,130.02722516128003,T90,35.000149505972175,130.03633970872394,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:40Z,Platform_A,35.000060405926,130.0175819393163,K2BlackPanther,35.000023147151694,130.02723688297743,T90,35.0001688785925,130.0362815861055,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:41Z,Platform_A,35.00005011398595,130.01755500371445,K2BlackPanther,35.000046243079545,130.02720708979936,T90,35.0001673203437,130.0362219582088,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:42Z,Platform_A,35.00004633043512,130.0175595269586,K2BlackPanther,35.0000149017991,130.02720118457358,T90,35.00014673389031,130.03615107441453,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:43Z,Platform_A,35.00003617404333,130.0175651702607,K2BlackPanther,35.00003106504807,130.02722808735788,T90,35.00014599266428,130.0360769673336,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:44Z,Platform_A,35.00004441348232,130.01757626379543,K2BlackPanther,35.0000443462179,130.0272114875265,T90,35.00014909281852,130.03599015331372,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:45Z,Platform_A,35.00005591928404,130.0175625703396,K2BlackPanther,35.000024851232844,130.02722823859028,T90,35.00017821710342,130.03589968436353,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:46Z,Platform_A,35.000054521649034,130.0175635183045,K2BlackPanther,35.00001775772788,130.02721844041307,T90,35.00016861574599,130.0358537733405,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:47Z,Platform_A,35.000036821120226,130.01755505570017,K2BlackPanther,35.00003144436471,130.02722959104736,T90,35.00016233411837,130.03577201674014,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:48Z,Platform_A,35.00006648885402,130.0175409914709,K2BlackPanther,35.00003366710607,130.02722710096432,T90,35.000172553288365,130.03568468090467,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:49Z,Platform_A,35.00005496316674,130.01755491580525,K2BlackPanther,35.000015285690615,130.02723062730982,T90,35.00015015839488,130.03562951859232,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:50Z,Platform_A,35.00003960934578,130.0175652558802,K2BlackPanther,35.000016610100744,130.02721209987425,T90,35.00015986390747,130.03554837803802,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:51Z,Platform_A,35.00006042584897,130.01756369019603,K2BlackPanther,35.000033393957324,130.02721239215072,T90,35.00015748981508,130.0354903739979,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:52Z,Platform_A,35.00005998032522,130.0175433378066,K2BlackPanther,35.000045181600974,130.02719834920177,T90,35.00015799348038,130.0354142782825,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:53Z,Platform_A,35.00007017578189,130.01755760259266,K2BlackPanther,35.00003829768404,130.02720194640366,T90,35.00017743309114,130.03532685998056,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:54Z,Platform_A,35.000054738801886,130.01756523567337,K2BlackPanther,35.00004840251271,130.0272089677115,T90,35.00016351890594,130.03527130161538,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:55Z,Platform_A,35.000065173433285,130.01757785246255,K2BlackPanther,35.000015184775656,130.02720213162567,T90,35.0001636696435,130.03516880490196,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:56Z,Platform_A,35.00005604346539,130.01755729504887,K2BlackPanther,35.000032902505474,130.02723277589456,T90,35.00016470076943,130.03512324267754,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:57Z,Platform_A,35.00005775555744,130.0175697816799,K2BlackPanther,35.0000252503109,130.02723183256745,T90,35.000160363870094,130.03503036930357,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:58Z,Platform_A,35.00006541343455,130.01754838033267,K2BlackPanther,35.00004794808428,130.02721822166748,T90,35.000145635804174,130.0349816228677,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:59Z,Platform_A,35.000054122682506,130.01755017291802,K2BlackPanther,35.00001537800285,130.02722167449792,T90,35.00017257253404,130.0348749008268,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:00Z,Platform_A,35.000065590518744,130.01757735303354,K2BlackPanther,35.00002527484849,130.02722241940458,T90,35.00017131687548,130.03480964700762,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:01Z,Platform_A,35.00003803412562,130.01755384448535,K2BlackPanther,35.00002081265377,130.02722751367955,T90,35.00014479196421,130.03471855619392,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:02Z,Platform_A,35.000042390407415,130.01755180431334,K2BlackPanther,35.000048047392184,130.0271990753036,T90,35.00015871747299,130.0346855460994,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:03Z,Platform_A,35.00006332879547,130.01756486816367,K2BlackPanther,35.00003312529707,130.0272285759296,T90,35.00016578352623,130.03461100565085,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:04Z,Platform_A,35.000060966156234,130.01757978677804,K2BlackPanther,35.000014975904065,130.0272164878548,T90,35.000167768582,130.03450800188335,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:05Z,Platform_A,35.000045595844725,130.01756373211663,K2BlackPanther,35.00004625480938,130.02720210421194,T90,35.00016553080015,130.03445164516026,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:06Z,Platform_A,35.000069294595875,130.01754534080854,K2BlackPanther,35.00002091264823,130.0272062598492,T90,35.0001675502567,130.0343915387058,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:07Z,Platform_A,35.00004721242839,130.01757984574178,K2BlackPanther,35.00003910304512,130.02719870041142,T90,35.00017358355587,130.03429271011024,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:08Z,Platform_A,35.00007085887892,130.01755380048272,K2BlackPanther,35.00004446332269,130.0272301574439,T90,35.000165291824395,130.03423107897027,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:09Z,Platform_A,35.000046972162316,130.01755920167724,K2BlackPanther,35.000048835034555,130.0272031342065,T90,35.0001689414715,130.03412990632575,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:10Z,Platform_A,35.00004657079614,130.01757870839688,K2BlackPanther,35.0000457685262,130.02722704164825,T90,35.00014541164872,130.034086703722,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:11Z,Platform_A,35.00007147981245,130.0175527381076,K2BlackPanther,35.000032645659864,130.02719710042402,T90,35.0001799137951,130.03401938138376,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:12Z,Platform_A,35.000038063724546,130.01755596534687,K2BlackPanther,35.000025702275664,130.02721087462044,T90,35.00016413213609,130.03392736727682,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:13Z,Platform_A,35.00007117870246,130.01754218750474,K2BlackPanther,35.00004864447768,130.02720555159917,T90,35.00016320967994,130.03385295874335,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:14Z,Platform_A,35.000051288474005,130.01756806550645,K2BlackPanther,35.00001400925401,130.02719881475937,T90,35.00015475944206,130.03376431459682,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:15Z,Platform_A,35.000048052817654,130.0175553158097,K2BlackPanther,35.00003067936752,130.02719694555523,T90,35.00016905822987,130.03369989770772,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:16Z,Platform_A,35.00004582786732,130.0175488110137,K2BlackPanther,35.00002852510808,130.02722718508005,T90,35.00015305693022,130.0336157135142,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:17Z,Platform_A,35.000063888926,130.01757553833383,K2BlackPanther,35.00003129623369,130.02722166149405,T90,35.000167939163546,130.03356318915016,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:18Z,Platform_A,35.00007027162779,130.01755776682108,K2BlackPanther,35.000034702167866,130.0272102418275,T90,35.00015196104949,130.03348745531017,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:19Z,Platform_A,35.00004530677606,130.0175711655834,K2BlackPanther,35.000046564993404,130.02722941153374,T90,35.000175001126436,130.03342362830176,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:20Z,Platform_A,35.00005527879703,130.0175594422491,K2BlackPanther,35.00004279259378,130.02722100171076,T90,35.000145519719815,130.03334513792944,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:21Z,Platform_A,35.0000561532485,130.01757172612926,K2BlackPanther,35.00003930693812,130.02720417782464,T90,35.00015273650169,130.0332777078584,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:22Z,Platform_A,35.00006900777103,130.01754477979182,K2BlackPanther,35.000026069353105,130.02723168102358,T90,35.00014804449957,130.03320601982062,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:23Z,Platform_A,35.00004793574641,130.01755317896084,K2BlackPanther,35.00002877877428,130.02722132325638,T90,35.00016285101468,130.03313067944632,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:24Z,Platform_A,35.000051292382814,130.01754027832027,K2BlackPanther,35.00004295424277,130.02723005843475,T90,35.00014881729134,130.03304377387528,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:25Z,Platform_A,35.0000710601526,130.01756146294755,K2BlackPanther,35.00002106220451,130.02720948499268,T90,35.00018000388932,130.03297207614278,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:26Z,Platform_A,35.00004276838503,130.01755848488156,K2BlackPanther,35.00003742081624,130.02720022340844,T90,35.000172471572114,130.0328855759537,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:27Z,Platform_A,35.000041290421414,130.01756991092805,K2BlackPanther,35.0000278171713,130.02722944032337,T90,35.000145166589895,130.03282081441336,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:28Z,Platform_A,35.00006015291889,130.01757851010424,K2BlackPanther,35.00002857274777,130.0272225253072,T90,35.00015132948957,130.03276024043805,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:29Z,Platform_A,35.0000430804029,130.0175698129296,K2BlackPanther,35.00004200316413,130.02723241059175,T90,35.000170832233785,130.03265589174794,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:30Z,Platform_A,35.00006224280565,130.01758086829494,K2BlackPanther,35.00001481179164,130.0272032258796,T90,35.00017840060656,130.03259179574295,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:31Z,Platform_A,35.00006297143769,130.01758076597122,K2BlackPanther,35.000036341920925,130.02721191326143,T90,35.0001780456501,130.03252244405755,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:32Z,Platform_A,35.00006795048445,130.0175532374247,K2BlackPanther,35.000021372174075,130.02721750334734,T90,35.00016451263165,130.032433886453,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:33Z,Platform_A,35.000037788926754,130.0175559792147,K2BlackPanther,35.000014874100664,130.02723504290483,T90,35.000153269578185,130.03238026220336,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:34Z,Platform_A,35.000063945808144,130.01756228618123,K2BlackPanther,35.00003257478343,130.02720206811398,T90,35.00017365851206,130.03229117994036,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:35Z,Platform_A,35.00004502729338,130.01758181236391,K2BlackPanther,35.00004249272075,130.0272099197812,T90,35.00015909731677,130.03224461930648,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:36Z,Platform_A,35.00005376166193,130.01757734352142,K2BlackPanther,35.00002912399384,130.02723101012788,T90,35.000166711933645,130.0321470272723,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:37Z,Platform_A,35.00003732464329,130.01757119134317,K2BlackPanther,35.00002540876545,130.0272280273336,T90,35.00015233466837,130.03206379297157,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:38Z,Platform_A,35.00005207082802,130.0175402559053,K2BlackPanther,35.000035624716986,130.02723502463303,T90,35.00017402818386,130.03199964608442,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:39Z,Platform_A,35.000068011326924,130.01756158163303,K2BlackPanther,35.00004057246666,130.02722587070278,T90,35.00016356696698,130.0319546969791,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:40Z,Platform_A,35.000069272091345,130.01757254227545,K2BlackPanther,35.00002997610111,130.0272038050618,T90,35.000154148777874,130.03187873359005,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:41Z,Platform_A,35.000043147817955,130.01757471575664,K2BlackPanther,35.00003010609255,130.0272038265233,T90,35.00015002658673,130.03179186930004,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:42Z,Platform_A,35.000060762515986,130.01756214230477,K2BlackPanther,35.000048531740696,130.02720736641982,T90,35.000157677054446,130.0317152574319,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:43Z,Platform_A,35.000064750286306,130.01756668282653,K2BlackPanther,35.00002049392871,130.02722776331856,T90,35.0001479949274,130.03162269737075,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:44Z,Platform_A,35.00004310491065,130.01754673547478,K2BlackPanther,35.000015870639196,130.02721651729874,T90,35.000175055467274,130.03159140742954,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:45Z,Platform_A,35.00004540488125,130.01754052401424,K2BlackPanther,35.00001836791795,130.02723636701148,T90,35.00015201681502,130.03148052597925,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:46Z,Platform_A,35.000063181347656,130.01758106865978,K2BlackPanther,35.00003115113283,130.02719654265073,T90,35.000171221040866,130.03141375931824,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:47Z,Platform_A,35.00005333551932,130.0175496082637,K2BlackPanther,35.00004118591033,130.02719842078596,T90,35.00014755925704,130.03136614494818,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:48Z,Platform_A,35.00004449246734,130.01755016540355,K2BlackPanther,35.00001822301014,130.02722888879444,T90,35.00014478919234,130.03127901099518,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:49Z,Platform_A,35.00006542924536,130.0175660409995,K2BlackPanther,35.000029428861716,130.02721889845898,T90,35.00017040729477,130.03120216919785,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:50Z,Platform_A,35.00006418490021,130.0175557082991,K2BlackPanther,35.00003662294863,130.02721197520114,T90,35.0001442684381,130.03113014257445,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:51Z,Platform_A,35.00004774813658,130.01757813284374,K2BlackPanther,35.000040835396376,130.02722146077747,T90,35.000146364075434,130.031065922029,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:52Z,Platform_A,35.00005748034685,130.01754505986645,K2BlackPanther,35.00004104050605,130.0272224681985,T90,35.00015388692606,130.03097751030992,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:53Z,Platform_A,35.00005825672174,130.0175419974793,K2BlackPanther,35.00002893923212,130.02721092584497,T90,35.00018004180867,130.03089699276953,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:54Z,Platform_A,35.00004817187006,130.01757395607848,K2BlackPanther,35.000027867764814,130.02722224243198,T90,35.000173785508935,130.03081846251365,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:55Z,Platform_A,35.00003630306626,130.01758064222858,K2BlackPanther,35.00003130060487,130.02720247345147,T90,35.00015360232994,130.03075384785035,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:56Z,Platform_A,35.000045989510326,130.0175410673127,K2BlackPanther,35.0000437991984,130.02719942179468,T90,35.000176351728065,130.0307030092097,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:57Z,Platform_A,35.00004490735044,130.01755347970087,K2BlackPanther,35.00002249696089,130.0272327831849,T90,35.00015083111866,130.03059012343016,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:58Z,Platform_A,35.00003800575161,130.0175562458202,K2BlackPanther,35.000024269224774,130.0272244876646,T90,35.00016156757747,130.03054373962968,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:59Z,Platform_A,35.00003751945751,130.01758014765937,K2BlackPanther,35.00003397947339,130.02721324857777,T90,35.000177755094185,130.03047962118404,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:00Z,Platform_A,35.00005568740539,130.01755820169245,K2BlackPanther,35.000046670407535,130.02722460524555,T90,35.0001451762101,130.03039909047985,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:01Z,Platform_A,35.000036322984954,130.01754034512177,K2BlackPanther,35.00002343408416,130.027238324103,T90,35.00016455882927,130.030313755265,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:02Z,Platform_A,35.00004494656964,130.01756661025192,K2BlackPanther,35.000022268552165,130.02719636807583,T90,35.00014804389444,130.03026514653942,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:03Z,Platform_A,35.00006553706634,130.01754362025076,K2BlackPanther,35.00004794544185,130.02722632083103,T90,35.00017577875715,130.03015039656884,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:04Z,Platform_A,35.000053715038796,130.0175578528931,K2BlackPanther,35.00003364683098,130.0272115648379,T90,35.00015360791382,130.03010031006954,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:05Z,Platform_A,35.00004043047571,130.01756992944266,K2BlackPanther,35.00001944141839,130.02721111085057,T90,35.00017775591581,130.03000740547657,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:06Z,Platform_A,35.000054079920545,130.01757569876648,K2BlackPanther,35.00002898189431,130.02723392643176,T90,35.000156613846016,130.0299504549258,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:07Z,Platform_A,35.00005760879327,130.01755935957178,K2BlackPanther,35.00002154183827,130.02720261933197,T90,35.00014734470082,130.02985472063546,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:08Z,Platform_A,35.000042787925466,130.01757420680542,K2BlackPanther,35.000022970633054,130.0272004085701,T90,35.00014890548995,130.02978680684708,behind,ahead of,behind,ahead of,ahead of,behind
