time,BF_object_A,lat_A,long_A,BF_object_B,lat_B,long_B,BF_object_C,lat_C,long_C,A-B,B-A,B-C,C-B,A-C,C-A
+2026-02-05T22:36:32Z,T-72,35,130.0000878,T-62,35.0000541,130.000101,BTR-80,35.0000541,130.01756,side by side,side by side,in back of,in front of,in back of,in front of
+2026-02-05T22:36:33Z,T-72,35,130.0001756,T-62,35.0000541,130.0002019,BTR-80,35.0000541,130.01756,side by side,side by side,in back of,in front of,in back of,in front of
+2026-02-05T22:36:34Z,T-72,35,130.0002634,T-62,35.0000541,130.0003029,BTR-80,35.0000541,130.01756,side by side,side by side,in back of,in front of,in back of,in front of
+2026-02-05T22:36:35Z,T-72,35,130.0003512,T-62,35.0000541,130.0004039,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:36Z,T-72,35,130.000439,T-62,35.0000541,130.0005049,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:37Z,T-72,35,130.0005268,T-62,35.0000541,130.0006058,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:38Z,T-72,35,130.0006146,T-62,35.0000541,130.0007068,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:39Z,T-72,35,130.0007024,T-62,35.0000541,130.0008078,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:40Z,T-72,35,130.0007902,T-62,35.0000541,130.0009087,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:41Z,T-72,35,130.000878,T-62,35.0000541,130.0010097,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:42Z,T-72,35,130.0009658,T-62,35.0000541,130.0011107,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:43Z,T-72,35,130.0010536,T-62,35.0000541,130.0012116,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:44Z,T-72,35,130.0011414,T-62,35.0000541,130.0013126,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:45Z,T-72,35,130.0012292,T-62,35.0000541,130.0014136,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:46Z,T-72,35,130.001317,T-62,35.0000541,130.0015146,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:47Z,T-72,35,130.0014048,T-62,35.0000541,130.0016155,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:48Z,T-72,35,130.0014926,T-62,35.0000541,130.0017165,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:49Z,T-72,35,130.0015804,T-62,35.0000541,130.0018175,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:50Z,T-72,35,130.0016682,T-62,35.0000541,130.0019184,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:51Z,T-72,35,130.001756,T-62,35.0000541,130.0020194,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:52Z,T-72,35,130.0018438,T-62,35.0000541,130.0021204,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:53Z,T-72,35,130.0019316,T-62,35.0000541,130.0022213,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:54Z,T-72,35,130.0020194,T-62,35.0000541,130.0023223,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:55Z,T-72,35,130.0021072,T-62,35.0000541,130.0024233,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:56Z,T-72,35,130.002195,T-62,35.0000541,130.0025243,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:57Z,T-72,35,130.0022828,T-62,35.0000541,130.0026252,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:58Z,T-72,35,130.0023706,T-62,35.0000541,130.0027262,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:59Z,T-72,35,130.0024584,T-62,35.0000541,130.0028272,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:00Z,T-72,35,130.0025462,T-62,35.0000541,130.0029281,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:01Z,T-72,35,130.002634,T-62,35.0000541,130.0030291,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:02Z,T-72,35,130.0027218,T-62,35.0000541,130.0031301,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:03Z,T-72,35,130.0028096,T-62,35.0000541,130.003231,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:04Z,T-72,35,130.0028974,T-62,35.0000541,130.003332,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:05Z,T-72,35,130.0029852,T-62,35.0000541,130.003433,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:06Z,T-72,35,130.003073,T-62,35.0000541,130.003534,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:07Z,T-72,35,130.0031608,T-62,35.0000541,130.0036349,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
