time,BF_object_C,lat_C,long_C,BF_object_D,lat_D,long_D,BF_object_E,lat_E,long_E,C-D,D-C,D-E,E-D,E-C,C-E
+2026-02-05T22:36:32Z,Platform_A,35.00004190691933,130.017556354682,K2BlackPanther,35.000050304938846,130.02722158419132,T90,35.00017837099209,130.03685450616072,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:33Z,Platform_A,35.00007025324484,130.0175798378619,K2BlackPanther,35.000035993154945,130.0272181504345,T90,35.000153833131705,130.03680462232367,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:34Z,Platform_A,35.00005236551503,130.0175475394927,K2BlackPanther,35.000032261174454,130.02722852228337,T90,35.000170545010434,130.03672288832328,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:35Z,Platform_A,35.00006802635691,130.0175698278589,K2BlackPanther,35.00002605442103,130.02721833043387,T90,35.000169394483535,130.03664747115644,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:36Z,Platform_A,35.000068230964146,130.01756983412062,K2BlackPanther,35.00002613685779,130.02723259970745,T90,35.00015979684779,130.0365863331186,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:37Z,Platform_A,35.000061631077735,130.0175811241839,K2BlackPanther,35.00004211784071,130.02720536832464,T90,35.000149771368605,130.03650021427947,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:38Z,Platform_A,35.000054067298365,130.01758086067508,K2BlackPanther,35.000020233931146,130.02722654983228,T90,35.00016847279038,130.03645110157058,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:39Z,Platform_A,35.00004024107312,130.017561165422,K2BlackPanther,35.0000435773248,130.02720136129727,T90,35.000170859716214,130.03635975788828,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:40Z,Platform_A,35.000061167717526,130.01757535658328,K2BlackPanther,35.00002572496082,130.0272353160441,T90,35.00015557297588,130.03630470349097,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:41Z,Platform_A,35.00003532112084,130.0175438536788,K2BlackPanther,35.00001890397165,130.02721526232003,T90,35.00016164416475,130.03621115455923,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:42Z,Platform_A,35.00007203452574,130.01754201279334,K2BlackPanther,35.00003472190311,130.02722929301345,T90,35.000156502074645,130.03615147770645,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:43Z,Platform_A,35.000048801202595,130.01758009081067,K2BlackPanther,35.00003694438908,130.0272142847507,T90,35.000182636052706,130.03606775222394,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:44Z,Platform_A,35.00004548156251,130.01757221026418,K2BlackPanther,35.00004418572334,130.02720326264028,T90,35.00018259840264,130.0359806003572,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:45Z,Platform_A,35.00004867885892,130.01754164583903,K2BlackPanther,35.0000263372552,130.0272225508322,T90,35.00017620754313,130.03591448107625,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:46Z,Platform_A,35.000047842472995,130.0175571194201,K2BlackPanther,35.0000398601073,130.0272086679783,T90,35.000161463936834,130.03585217534774,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:47Z,Platform_A,35.00006314799902,130.01754906726126,K2BlackPanther,35.00002205637482,130.0271977549543,T90,35.000171508637315,130.03575000987115,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:48Z,Platform_A,35.000046478906384,130.01757360763406,K2BlackPanther,35.00004903881045,130.02722190563662,T90,35.00015929354041,130.03570373688865,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:49Z,Platform_A,35.000032934816545,130.0175807934027,K2BlackPanther,35.0000349962273,130.02721992746862,T90,35.00018293974618,130.03562996987543,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:50Z,Platform_A,35.000069640914475,130.01756050923822,K2BlackPanther,35.000026275101824,130.02719647393133,T90,35.00017707168194,130.03556439669,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:51Z,Platform_A,35.00006172111815,130.01753993116813,K2BlackPanther,35.000028969318166,130.02722423538188,T90,35.0001526512632,130.03546893986672,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:52Z,Platform_A,35.00003771776166,130.01756811704996,K2BlackPanther,35.00004808718351,130.02723321761903,T90,35.00017167764994,130.03538794026224,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:53Z,Platform_A,35.00005253168044,130.01756661443565,K2BlackPanther,35.000052826471716,130.02720749279365,T90,35.00014251175782,130.03531847899055,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:54Z,Platform_A,35.00003425646235,130.01754521451906,K2BlackPanther,35.000018550798536,130.02722248003982,T90,35.000162765444465,130.03524553504064,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:55Z,Platform_A,35.000047948765044,130.01755326955865,K2BlackPanther,35.00003158681718,130.02721644961687,T90,35.00017916678758,130.0351758652089,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:56Z,Platform_A,35.00003442312324,130.0175395758982,K2BlackPanther,35.000013601315636,130.0272062658918,T90,35.00014333561017,130.0350882492287,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:57Z,Platform_A,35.00006524523489,130.01756382536098,K2BlackPanther,35.00004593730755,130.02722857159193,T90,35.00014116902496,130.0350146670218,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:58Z,Platform_A,35.00005683524075,130.01757745867982,K2BlackPanther,35.00004664521652,130.02722209206416,T90,35.00017671896743,130.03497125491126,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:36:59Z,Platform_A,35.00006083242013,130.01758164406706,K2BlackPanther,35.00004128972495,130.0272367754158,T90,35.00018075556387,130.03487784395676,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:00Z,Platform_A,35.000068415690684,130.01754701470176,K2BlackPanther,35.00003430972467,130.02723393009754,T90,35.00017253899237,130.03480033479025,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:01Z,Platform_A,35.00004007714894,130.01756625842802,K2BlackPanther,35.00002934906143,130.02720095633597,T90,35.000149516310216,130.03473982271765,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:02Z,Platform_A,35.000032657498956,130.01755171684252,K2BlackPanther,35.000053352227916,130.02719924418497,T90,35.00017898704289,130.03465808683524,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:03Z,Platform_A,35.00006313861146,130.0175536947988,K2BlackPanther,35.00004897510355,130.02723414502816,T90,35.0001534890903,130.03459549975392,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:04Z,Platform_A,35.00005803303578,130.01757417844456,K2BlackPanther,35.0000297642068,130.02720924061552,T90,35.000155786599485,130.03451834969403,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:05Z,Platform_A,35.000072017357006,130.01755287937496,K2BlackPanther,35.00003181319936,130.02723569690545,T90,35.000152812731706,130.03442342083554,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:06Z,Platform_A,35.00007284331101,130.01756364637632,K2BlackPanther,35.00004895733044,130.02721990174302,T90,35.00014981106496,130.03435689325207,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:07Z,Platform_A,35.00005121358134,130.01754410233124,K2BlackPanther,35.00005364829373,130.02721784326945,T90,35.00017648603546,130.03430130215688,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:08Z,Platform_A,35.00003464001205,130.01754507087594,K2BlackPanther,35.00001647885059,130.0272228997453,T90,35.000150256094784,130.03421555809658,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:09Z,Platform_A,35.00004196909338,130.0175405118034,K2BlackPanther,35.000040804288616,130.0272320003059,T90,35.00017400975065,130.03414213405583,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:10Z,Platform_A,35.000055554072055,130.01754068914335,K2BlackPanther,35.00002406425443,130.02721226618556,T90,35.00016917628791,130.0340573168142,behind,ahead of,behind,ahead of,ahead of,behind
