time,BF_object_C,lat_C,long_C,BF_object_D,lat_D,long_D,BF_object_E,lat_E,long_E,C-D,D-C,D-E,E-D,C-E,E-C
+2026-02-05T22:36:32Z,Platform_A,35.00010981778966,130.01756865857774,K2BlackPanther,35.000054718196175,130.02459249587648,T90,35.00014566307568,130.03685675132692,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:33Z,Platform_A,35.00011611752468,130.01757483953278,K2BlackPanther,35.00006264903309,130.02457746891707,T90,35.00015839586883,130.03682543884744,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:34Z,Platform_A,35.00012126802806,130.0175809175829,K2BlackPanther,35.000053988279646,130.02460087380402,T90,35.000148971699474,130.03673500320514,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:35Z,Platform_A,35.00012071482785,130.0175812543749,K2BlackPanther,35.00005485480248,130.0246037588907,T90,35.00017055836949,130.03670079631414,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:36Z,Platform_A,35.0000914222144,130.01757050619878,K2BlackPanther,35.0000480444117,130.02460341602236,T90,35.00014532434835,130.0366045750019,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:37Z,Platform_A,35.0000984996808,130.01756114534533,K2BlackPanther,35.00006931624173,130.024589417799,T90,35.00015718621591,130.03657970163817,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:38Z,Platform_A,35.00012382114402,130.01758003644917,K2BlackPanther,35.000040993686405,130.0245801647957,T90,35.00015263670108,130.0364891925404,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:39Z,Platform_A,35.0001182641386,130.0175724216781,K2BlackPanther,35.000064093759136,130.0245647189015,T90,35.0001678552015,130.03643205671193,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:40Z,Platform_A,35.00012196201793,130.01754507734137,K2BlackPanther,35.000061421693616,130.02459901547292,T90,35.000149400696024,130.0363772316731,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:41Z,Platform_A,35.00010776551526,130.01753806753618,K2BlackPanther,35.000040288200765,130.0245716890543,T90,35.00018005483384,130.03631850949677,behind of,ahead of,behind of,ahead of,behind of,ahead of
