time,BF_object_C,lat_C,long_C,BF_object_D,lat_D,long_D,BF_object_E,lat_E,long_E,C-D,D-C,D-E,E-D,C-E,E-C
+2026-02-05T22:36:32Z,BTR80,35.000109754052964,130.0175476408469,K2BlackPanther,35.00003767154232,130.02460105535653,T90,35.000156160920476,130.03686894653646,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:33Z,BTR80,35.000102142306964,130.01754531601298,K2BlackPanther,35.000042957827105,130.02457277788483,T90,35.000168538784166,130.03680034596155,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:34Z,BTR80,35.000110855877324,130.01757599846758,K2BlackPanther,35.00006289575899,130.02458093491848,T90,35.00015177169483,130.03672884791195,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:35Z,BTR80,35.000093181004885,130.01757952697753,K2BlackPanther,35.000045451501464,130.02458852539473,T90,35.0001617410993,130.03667661411575,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:36Z,BTR80,35.00011904023497,130.01755491829073,K2BlackPanther,35.00005616792128,130.0245941684785,T90,35.00016661606212,130.0366412874351,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:37Z,BTR80,35.00010660394332,130.0175577317602,K2BlackPanther,35.00004376958382,130.02457871260788,T90,35.0001599525351,130.03657849375975,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:38Z,BTR80,35.00010072065156,130.01756435173232,K2BlackPanther,35.000059248780424,130.02457049963957,T90,35.00017493157274,130.0364884777609,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:39Z,BTR80,35.00010334849509,130.01755895529774,K2BlackPanther,35.00006238983142,130.0246022121035,T90,35.000145599910276,130.03642016015436,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:40Z,BTR80,35.00010224797129,130.01753806956958,K2BlackPanther,35.00004338470568,130.02459982599282,T90,35.00015732961728,130.03636855293945,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:41Z,BTR80,35.00010169449685,130.01757837188623,K2BlackPanther,35.000061335020646,130.02458803342785,T90,35.000179153589826,130.0362963281081,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:42Z,BTR80,35.00009321254918,130.01755217543996,K2BlackPanther,35.00005927349548,130.0245746831694,T90,35.00018008976128,130.03624887646163,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:43Z,BTR80,35.00009195362433,130.01753981332328,K2BlackPanther,35.00004810403469,130.02459538135201,T90,35.000158524570956,130.03615977217416,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:44Z,BTR80,35.000091636960015,130.01755894235333,K2BlackPanther,35.00006271217187,130.0245650906127,T90,35.000177876411335,130.03613062656095,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:45Z,BTR80,35.000117835713574,130.01755960109278,K2BlackPanther,35.00003719668757,130.02458801924732,T90,35.000145403868494,130.03603558420616,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:46Z,BTR80,35.00010819933082,130.01754355477053,K2BlackPanther,35.000050947436655,130.0245826819179,T90,35.000151329315855,130.03596807243454,behind of,ahead of,behind of,ahead of,behind of,ahead of
