time,BF_object_C,lat_C,long_C,BF_object_D,lat_D,long_D,BF_object_E,lat_E,long_E,C-D,D-C,D-E,E-D,C-E,E-C
+2026-02-05T22:36:32Z,BTR80,35.00009998985435,130.01756479879057,K2BlackPanther,35.00004950596218,130.02459073307622,T90,35.00015421804879,130.0368782754149,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:33Z,BTR80,35.00010235552173,130.0175695234147,K2BlackPanther,35.00005265245615,130.02459156649786,T90,35.00015456759475,130.03680516941694,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:34Z,BTR80,35.0001170728543,130.017552349118,K2BlackPanther,35.00006158644786,130.02458492745552,T90,35.00015571533498,130.03675333893753,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:35Z,BTR80,35.00011556201499,130.01756356241978,K2BlackPanther,35.000057471416454,130.02459079200403,T90,35.000159557576836,130.03667890933895,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:36Z,BTR80,35.00010999175005,130.01755499555958,K2BlackPanther,35.000054172578956,130.02457398095322,T90,35.00016383111744,130.03663218574414,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:37Z,BTR80,35.00010559988146,130.01756013840998,K2BlackPanther,35.00004702824798,130.0245784935217,T90,35.000158320373146,130.03656847582167,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:38Z,BTR80,35.00011207153613,130.01757062525584,K2BlackPanther,35.000048304452115,130.02459330678843,T90,35.00015988415553,130.0364909447579,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:39Z,BTR80,35.000101577909504,130.01755240133897,K2BlackPanther,35.00004865595078,130.02458951677227,T90,35.00015481044167,130.03643228956562,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:40Z,BTR80,35.00010521143985,130.01755557346507,K2BlackPanther,35.00006297616672,130.02458777934905,T90,35.000156499232006,130.0363658525565,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:41Z,BTR80,35.00011653543554,130.0175667500205,K2BlackPanther,35.00004813694919,130.02458611805113,T90,35.00016752033044,130.03630505062705,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:42Z,BTR80,35.000112536169965,130.0175634625413,K2BlackPanther,35.000049504633864,130.02459317369937,T90,35.00015330766609,130.03623779582483,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:43Z,BTR80,35.00009950958446,130.01756013970055,K2BlackPanther,35.0000566231888,130.0245938543161,T90,35.00015796693939,130.0361891238442,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:44Z,BTR80,35.00010815191632,130.01755306957594,K2BlackPanther,35.00004617434178,130.02457914460666,T90,35.0001558620877,130.0361182716859,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:45Z,BTR80,35.00010050920639,130.01755888474344,K2BlackPanther,35.00005998151389,130.0245890476125,T90,35.00016329357809,130.0360604211421,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:46Z,BTR80,35.00010264506346,130.0175643354822,K2BlackPanther,35.000047464172944,130.02458406838886,T90,35.00016502175824,130.03598762819382,behind of,ahead of,behind of,ahead of,behind of,ahead of
