time,BF_object_C,lat_C,long_C
+2026-02-05T22:38:12Z,BTR80,35.00009397911631,130.01755691771368
+2026-02-05T22:38:13Z,BTR80,35.00011168948816,130.0175709904593
+2026-02-05T22:38:14Z,BTR80,35.00009809314777,130.0175792937395
+2026-02-05T22:38:15Z,BTR80,35.00010988104133,130.01756561256045
+2026-02-05T22:38:16Z,BTR80,35.0000942192779,130.0175566028508
+2026-02-05T22:38:17Z,BTR80,35.00009605857931,130.0175383314187
+2026-02-05T22:38:18Z,BTR80,35.00011182166794,130.0175746017628
+2026-02-05T22:38:19Z,BTR80,35.000113395511185,130.01754297154685
+2026-02-05T22:38:20Z,BTR80,35.00009493575483,130.01754216466762
+2026-02-05T22:38:21Z,BTR80,35.000113264490025,130.01757555109424
+2026-02-05T22:38:22Z,BTR80,35.00010880751478,130.01756348759756
+2026-02-05T22:38:23Z,BTR80,35.00010903512892,130.01757756831302
+2026-02-05T22:38:24Z,BTR80,35.00011368147993,130.0175526299789
+2026-02-05T22:38:25Z,BTR80,35.000094023655215,130.01757927548837
+2026-02-05T22:38:26Z,BTR80,35.00011936751657,130.01755417281896
+2026-02-05T22:38:27Z,BTR80,35.00009646278568,130.01756721438937
+2026-02-05T22:38:28Z,BTR80,35.0001006712458,130.01757252759015
+2026-02-05T22:38:29Z,BTR80,35.00010496943317,130.01757701417023
+2026-02-05T22:38:30Z,BTR80,35.000125542208,130.01756522999082
+2026-02-05T22:38:31Z,BTR80,35.000108386491355,130.0175795332908
+2026-02-05T22:38:32Z,BTR80,35.000090470147754,130.0175569247316
+2026-02-05T22:38:33Z,BTR80,35.000100842211296,130.01757159737613
+2026-02-05T22:38:34Z,BTR80,35.000119455404906,130.01755070562922
+2026-02-05T22:38:35Z,BTR80,35.00010532869849,130.0175561681544
+2026-02-05T22:38:36Z,BTR80,35.00009204576239,130.01754484752942
+2026-02-05T22:38:37Z,BTR80,35.000119456344464,130.0175646370597
+2026-02-05T22:38:38Z,BTR80,35.000115674529674,130.0175390683436
+2026-02-05T22:38:39Z,BTR80,35.00010472242727,130.01757348925935
+2026-02-05T22:38:40Z,BTR80,35.000105901447995,130.01757046740246
+2026-02-05T22:38:41Z,BTR80,35.00009957013822,130.01754777033435
+2026-02-05T22:38:42Z,BTR80,35.00009225986702,130.01755723967426
+2026-02-05T22:38:43Z,BTR80,35.00009628020298,130.01756339044906
+2026-02-05T22:38:44Z,BTR80,35.00011690798242,130.01754617305954
+2026-02-05T22:38:45Z,BTR80,35.000119824847935,130.01757790545304
+2026-02-05T22:38:46Z,BTR80,35.00010226729685,130.01757532594522
+2026-02-05T22:38:47Z,BTR80,35.0001008742625,130.01757076551664
+2026-02-05T22:38:48Z,BTR80,35.000090881459215,130.01754429550044
+2026-02-05T22:38:49Z,BTR80,35.000109229044895,130.0175688842532
+2026-02-05T22:38:50Z,BTR80,35.00011153479517,130.0175784425859
+2026-02-05T22:38:51Z,BTR80,35.00011476410521,130.01757808941568
+2026-02-05T22:38:52Z,BTR80,35.00009927974019,130.01754436129016
+2026-02-05T22:38:53Z,BTR80,35.00010467492013,130.01755823573225
+2026-02-05T22:38:54Z,BTR80,35.00010174486854,130.01755120074424
+2026-02-05T22:38:55Z,BTR80,35.000124821659426,130.01754646895677
+2026-02-05T22:38:56Z,BTR80,35.000118860276494,130.01757920097214
+2026-02-05T22:38:57Z,BTR80,35.00009951607042,130.01757561244855
+2026-02-05T22:38:58Z,BTR80,35.00009730049016,130.01757816810576
+2026-02-05T22:38:59Z,BTR80,35.000120747606545,130.01754494240612
+2026-02-05T22:39:00Z,BTR80,35.000123534658975,130.01757784525373
+2026-02-05T22:39:01Z,BTR80,35.000103398632774,130.01754847562228
+2026-02-05T22:39:02Z,BTR80,35.000124557486046,130.01757520877945
+2026-02-05T22:39:03Z,BTR80,35.00011924251652,130.01755438320214
+2026-02-05T22:39:04Z,BTR80,35.00011160072159,130.01756050833595
+2026-02-05T22:39:05Z,BTR80,35.00011582112031,130.0175400877712
+2026-02-05T22:39:06Z,BTR80,35.00011127228341,130.01757900974627
+2026-02-05T22:39:07Z,BTR80,35.000116567628936,130.01757600121087
+2026-02-05T22:39:08Z,BTR80,35.0001076666904,130.0175577089134
+2026-02-05T22:39:09Z,BTR80,35.00009036236788,130.01754464255382
+2026-02-05T22:39:10Z,BTR80,35.000106077362176,130.01756992800208
+2026-02-05T22:39:11Z,BTR80,35.00009957902212,130.01755888535914
+2026-02-05T22:39:12Z,BTR80,35.00012054789807,130.01755065061377
+2026-02-05T22:39:13Z,BTR80,35.00011076605113,130.0175427664074
+2026-02-05T22:39:14Z,BTR80,35.00012589217594,130.01754179376533
+2026-02-05T22:39:15Z,BTR80,35.00011319703102,130.01757143545427
+2026-02-05T22:39:16Z,BTR80,35.00010355506864,130.01754286273444
+2026-02-05T22:39:17Z,BTR80,35.00012274805613,130.0175395769064
+2026-02-05T22:39:18Z,BTR80,35.00010648633178,130.01756342409794
+2026-02-05T22:39:19Z,BTR80,35.000090362313315,130.01756231912742
+2026-02-05T22:39:20Z,BTR80,35.00010208484959,130.01755949806687
+2026-02-05T22:39:21Z,BTR80,35.00012206201469,130.0175674402335
+2026-02-05T22:39:22Z,BTR80,35.00009944357243,130.01754971506577
+2026-02-05T22:39:23Z,BTR80,35.00010216601661,130.01754785424265
+2026-02-05T22:39:24Z,BTR80,35.00009311231646,130.01755517112753
+2026-02-05T22:39:25Z,BTR80,35.00010780464104,130.01757139128085
+2026-02-05T22:39:26Z,BTR80,35.000096372349404,130.01754037022968
+2026-02-05T22:39:27Z,BTR80,35.0001186923106,130.01756240323735
+2026-02-05T22:39:28Z,BTR80,35.000091673653,130.017564410757
+2026-02-05T22:39:29Z,BTR80,35.00012088251931,130.01754996302228
+2026-02-05T22:39:30Z,BTR80,35.000117392211344,130.01755102807292
+2026-02-05T22:39:31Z,BTR80,35.000109697984875,130.0175578373823
+2026-02-05T22:39:32Z,BTR80,35.00009205639463,130.01754210138492
+2026-02-05T22:39:33Z,BTR80,35.00012164922964,130.01755970172647
+2026-02-05T22:39:34Z,BTR80,35.00009885503557,130.0175706847605
+2026-02-05T22:39:35Z,BTR80,35.00011195156417,130.01754170567168
+2026-02-05T22:39:36Z,BTR80,35.00012460869814,130.0175395095083
+2026-02-05T22:39:37Z,BTR80,35.00011994284385,130.01757227184953
+2026-02-05T22:39:38Z,BTR80,35.00009769283224,130.01757450912564
+2026-02-05T22:39:39Z,BTR80,35.00010672187671,130.01756983742197
+2026-02-05T22:39:40Z,BTR80,35.00011474383631,130.0175751655105
+2026-02-05T22:39:41Z,BTR80,35.000124055711545,130.01754129643797
+2026-02-05T22:39:42Z,BTR80,35.000093305560064,130.01755353988443
+2026-02-05T22:39:43Z,BTR80,35.00011460233299,130.01757352366926
+2026-02-05T22:39:44Z,BTR80,35.000110818536825,130.01755461823268
+2026-02-05T22:39:45Z,BTR80,35.00011798867952,130.01755390289088
+2026-02-05T22:39:46Z,BTR80,35.000099529989974,130.0175607180094
+2026-02-05T22:39:47Z,BTR80,35.0001156890714,130.0175671379903
+2026-02-05T22:39:48Z,BTR80,35.000116661998234,130.01754475591102
+2026-02-05T22:39:49Z,BTR80,35.000105602333264,130.0175700821584
+2026-02-05T22:39:50Z,BTR80,35.00009954564657,130.01755803795467
